url,titulo,descricao,quantidade_cama,preco_por_noite,estrelas,quantidade_avaliacoes
https://a0.muscache.com/im/pictures/miso/Hosting-654480096568010791/original/da9dea60-40e3-4c5e-aab9-f3b53f57b008.jpeg?im_w=320,Apartamento em Cabo Branco ,One Cabo Branco - Ap 1qt Climatizado a 50m do mar,2,232,"4,92",12
https://a0.muscache.com/im/pictures/70145477-8790-4cb8-92c6-818c1f50d261.jpg?im_w=320,Apartamento em Tambaú,Ótima Cobertura a 150m do mar toda climatizada,3,356,5,70
https://a0.muscache.com/im/pictures/miso/Hosting-811013791328332985/original/ec7150be-7cb8-4d30-ab28-9d899748ae89.jpeg?im_w=320,Apartamento em João Pessoa,Aconchegante Apartamento 02 quartos 202,2,160,0,0
https://a0.muscache.com/im/pictures/prohost-api/Hosting-48786325/original/dbafe48a-02b0-48bf-894d-3e173cb30e34.jpeg?im_w=320,Apartamento em Jardim Oceania,405B - Apto Vista pro Mar 2 suítes - Branco Haus,2,521,"4,84",50
https://a0.muscache.com/im/pictures/055e9341-acb1-4248-a3fb-8e32b6c81004.jpg?im_w=320,Apartamento em Tambaú,"No melhor de Tambaú, Eco Summer.",2,346,"4,89",36
https://a0.muscache.com/im/pictures/4e80d81e-f3db-4921-81ea-357941bd0807.jpg?im_w=320,Apartamento em Cabo Branco ,Apt amplo em luxuoso Hotel a 50 metros da praia,4,185,"4,83",69
https://a0.muscache.com/im/pictures/be035ad7-e7b3-4169-8784-8c79b21a95ab.jpg?im_w=320,Apartamento em Manaíra,Apartamento top em Manaira,4,187,"4,93",29
https://a0.muscache.com/im/pictures/e0baab74-02e8-4e77-9329-e1f405219787.jpg?im_w=320,Casa em João Pessoa,Casa aconchegante e espaçosa,5,559,5,6
https://a0.muscache.com/im/pictures/miso/Hosting-52452593/original/2572ef27-cac5-4bc3-9f37-1f2455f24adf.jpeg?im_w=320,Apartamento em Tambaú,Flat a beira-mar - Solar Tambaú,3,384,"4,95",21
https://a0.muscache.com/im/pictures/72ee48d4-29b4-44e1-8c0a-b7b4671fe0ce.jpg?im_w=320,Apartamento em Tambaú,APARTAMENTO DE 2 QUARTOS NO CORAÇÃO DE TAMBAÚ,2,232,"4,81",54
https://a0.muscache.com/im/pictures/5a61888e-3acf-4695-b1ed-92012e43c261.jpg?im_w=320,Quarto inteiro em Manaíra,(04) Quarto com copa BWC e acesso independente.,1,63,"4,81",27
https://a0.muscache.com/im/pictures/f0379734-2c4f-4fcc-81c9-83893de15834.jpg?im_w=320,Apartamento em Manaíra,Studio - Vista p. o Mar - Praia de Manaira 15% Off,2,185,"4,88",49
https://a0.muscache.com/im/pictures/8dbd9051-2e8c-451d-a003-b5e2c8e9a3cd.jpg?im_w=320,Apartamento em João Pessoa,Cobertura Beira-mar com Piscina Privada!,6,910,"4,84",90
https://a0.muscache.com/im/pictures/miso/Hosting-808917932567324767/original/dba75340-5a1e-40fa-b57d-817f89926fef.jpeg?im_w=320,Apartamento em João Pessoa,Apartamento Manaíra Tudo Novo,6,229,0,0
https://a0.muscache.com/im/pictures/prohost-api/Hosting-49341073/original/19a62965-a4ac-4c2c-80e0-7a74441b235a.jpeg?im_w=320,Apartamento em Jardim Oceania,Flat c/jacuzzi SPA a beira mar do Caribessa,4,474,"4,96",45
https://a0.muscache.com/im/pictures/d56a2e72-b346-497d-8351-cc08a4540309.jpg?im_w=320,Apartamento em Cabo Branco,"Apt com Ar na sala, piscina e ao lado da praia",3,188,"4,7",76
https://a0.muscache.com/im/pictures/miso/Hosting-736915234373914202/original/89908e41-6805-4282-b296-cb0b35c5cc95.jpeg?im_w=320,Quarto inteiro em João Pessoa,Flat 304 Novo Vivendas do Mar,2,202,5,6
https://a0.muscache.com/im/pictures/31c8bbcc-eb8d-4740-b2fb-e6b6020d1e79.jpg?im_w=320,Apartamento em Manaíra,Flat frente ao mar Terrazzas 101,4,187,"4,73",45
https://a0.muscache.com/im/pictures/64894919/99f782e4_original.jpg?im_w=320,Apartamento em João Pessoa,Flat à Beira Mar em Manaíra (Flat 106),1,122,"4,75",16
https://a0.muscache.com/im/pictures/2e92985e-1158-4b03-aef3-3ded3706dfb0.jpg?im_w=320,Condomínio em João Pessoa,Apartamento pé na areia,1,161,0,0
https://a0.muscache.com/im/pictures/miso/Hosting-45119228/original/231978c9-b933-45e0-9964-9582b1da5042.jpeg?im_w=320,Apartamento em Manaíra,Flat em João Pessoa - Urbani Manaíra (Sem Toalhas),3,116,"4,9",29
https://a0.muscache.com/im/pictures/e1193ce0-9e65-4125-b971-a7f1cf40087d.jpg?im_w=320,Apartamento em João Pessoa,Beira mar da praia de Cabo Branco flat,4,318,5,5
https://a0.muscache.com/im/pictures/miso/Hosting-644762645678058476/original/4df84e66-43ab-4d9d-a11d-2119772ce5ae.png?im_w=320,Apartamento em João Pessoa,Flat à beira-mar 115 Infinity At The Sea por Julio,1,318,5,32
https://a0.muscache.com/im/pictures/0d5b5b00-1576-403b-907b-fe20c5b0f781.jpg?im_w=320,Apartamento em Manaíra,UNO Flat Luxo com vista para o Mar e 50 mts do Mar,2,194,"4,94",172
https://a0.muscache.com/im/pictures/25e477af-c24f-44fa-ad63-a7b9c4704009.jpg?im_w=320,Apartamento em João Pessoa,Flat aconchegante a poucos metros do mar,2,204,5,5
https://a0.muscache.com/im/pictures/bf67b8a7-43af-40f8-9a3d-5f651f5c0cc4.jpg?im_w=320,Apartamento em Manaíra,Uno Flat Manaira 103,2,171,"4,91",58
https://a0.muscache.com/im/pictures/prohost-api/Hosting-752687280281275894/original/86f05bba-1135-4fd4-b372-dbf670352594.jpeg?im_w=320,Apartamento em João Pessoa,Flat beira-mar Cabo Branco,2,177,5,5
https://a0.muscache.com/im/pictures/miso/Hosting-794057137942652152/original/9751d02f-34fd-4d83-aff6-bdade2a6a64d.jpeg?im_w=320,Apartamento em João Pessoa ,Apart 302 no José Américo,1,112,0,0
https://a0.muscache.com/im/pictures/miso/Hosting-782117661251679102/original/cf4090d4-17ad-48c8-820e-c0795f663899.jpeg?im_w=320,Apartamento em João Pessoa,Urbani Ap 2 quartos climatizados,4,259,5,4
https://a0.muscache.com/im/pictures/be098f64-6af1-47ea-9442-1fd2a214d8c1.jpg?im_w=320,Apartamento em João Pessoa,Apartamento Encatador na Praia do Bessa,2,104,"4,86",7
https://a0.muscache.com/im/pictures/miso/Hosting-810321538448098307/original/fae658bf-340d-4575-a8c8-5689914561bb.jpeg?im_w=320,Apartamento em João Pessoa,200m do Mar de Cabo Branco!,1,160,0,0
https://a0.muscache.com/im/pictures/6678d633-f866-4a6f-b565-11a39b857cb7.jpg?im_w=320,Apartamento em Jardim Oceania,Flat com vista e área completa de lazer!,2,205,"4,94",33
https://a0.muscache.com/im/pictures/miso/Hosting-782572092033599394/original/baf15d3f-39cc-4d6d-8ee8-fe415cde44ca.jpeg?im_w=320,Apartamento em João Pessoa,Flat à beira-mar 208B Infinity At The Sea by Julio,1,218,5,5
https://a0.muscache.com/im/pictures/305967c9-5755-4eac-acb5-7e7457c1d12f.jpg?im_w=320,Quarto inteiro em João Pessoa,Pé na areia.,1,189,5,7
https://a0.muscache.com/im/pictures/miso/Hosting-689051904959883256/original/cacedfda-c3bd-47db-818e-badc9ce4de40.jpeg?im_w=320,Apartamento em João Pessoa,FLAT 404 (TRIPLO) VIVENDAS DO MAR,2,260,0,0
https://a0.muscache.com/im/pictures/5825ffb2-b035-4b4e-949c-1db4cccae9ba.jpg?im_w=320,Apartamento em João Pessoa,"UnoFlat 307 - Comodidade, luxo, lazer num só lugar!",2,204,"4,9",331
https://a0.muscache.com/im/pictures/miso/Hosting-52338034/original/665d9c6f-7c88-4473-b06a-4d5bdb9b8bb5.jpeg?im_w=320,Apartamento em Cabo Branco ,Flat à beira-mar 206A Infinity At The Sea por Julio,1,318,"4,89",91
https://a0.muscache.com/im/pictures/miso/Hosting-54236116/original/8a146eab-c7d0-4a11-99bd-160b31227a2e.jpeg?im_w=320,Apartamento em Cabo Branco ,Flat à beira-mar 205A Infinity At The Sea por Julio,1,318,"4,7",44
https://a0.muscache.com/im/pictures/44f4bd1c-1808-4ef4-a246-d409bcdfeafa.jpg?im_w=320,Apartamento Manaíra,Apto Completo proximo a praia - Manaíra,3,155,"4,87",87
https://a0.muscache.com/im/pictures/514de321-3073-4ee9-b861-79ddc0791e58.jpg?im_w=320,Apartamento em Tambaú,Apto incrível na melhor localização de Tambaú,3,244,"4,65",17
https://a0.muscache.com/im/pictures/809c8e44-643c-4080-8ae4-0c679a4e17da.jpg?im_w=320,Apartamento em Tambaú,Flat incrível com vista para o mar de Tambaú F320,1,228,"4,91",75
https://a0.muscache.com/im/pictures/3a64a29d-9ef8-4e36-b623-74ddf7de7e53.jpg?im_w=320,Apartamento em Jardim Oceania,"Encanto do mar ""CariBessa"" - seu apto pé na areia.",2,153,5,21
https://a0.muscache.com/im/pictures/d0a5811a-d349-44cc-b9bd-144a2c8c6b99.jpg?im_w=320,Quarto inteiro em Cabo Branco ,"Bauten Cabo Branco 205, Novíssimo a 150 m da praia",1,177,"4,88",51
https://a0.muscache.com/im/pictures/miso/Hosting-736068429677672585/original/a32bd1df-6ccf-47f4-8ade-5995fbfa97a4.jpeg?im_w=320,Apartamento encantador em João Pessoa,Flat encantador em excelente localização em Jampa,2,197,"4,6",5
https://a0.muscache.com/im/pictures/prohost-api/Hosting-33336079/original/94177183-903d-4a9b-af3b-809b7e8ba1ed.jpeg?im_w=320,Quarto de hotel em João Pessoa,Flat frente mar - luxo completo,1,249,"4,85",112
https://a0.muscache.com/im/pictures/miso/Hosting-4462114/original/9a858c36-e312-4abb-8991-d741da696cf0.jpeg?im_w=320,Condomínio em João Pessoa ,Apto decorado com vista para o mar,3,314,"4,85",118
https://a0.muscache.com/im/pictures/miso/Hosting-559187077483882867/original/b7caa415-67e0-48cf-9f14-4386e538ae0f.jpeg?im_w=320,Apartamento em Cabo Branco ,Flat à beira-mar 411 Infinity At The Sea por Julio,1,326,"4,78",55
https://a0.muscache.com/im/pictures/miso/Hosting-52959625/original/0a9143c1-e85d-4ef0-bfd5-dd4d398f3b98.jpeg?im_w=320,Condomínio em Jardim Oceania,"LINDO FLAT, VISTA PARA O MAR E PISCINAS RELAXAR",1,196,5,15
https://a0.muscache.com/im/pictures/cdb7f8e6-3e7f-4aac-9d8b-54e19e0e70ef.jpg?im_w=320,Apartamento em João Pessoa,O paraíso de Puerto Ventura C Branco,3,320,5,4
https://a0.muscache.com/im/pictures/miso/Hosting-605865970459026353/original/37084c71-7af6-4b4d-8a07-7376dfe650bf.jpeg?im_w=320,Apartamento em Cabo Branco ,Apartamento acolhedor em Cabo Branco,1,210,"4,76",21
https://a0.muscache.com/im/pictures/miso/Hosting-650548846708057740/original/314c44ae-704d-42eb-9ae0-d9ba1b80d8bc.jpeg?im_w=320,Apartamento em Tambaú,Luxor Tambaú - Conforto e estilo,1,254,"4,92",13
https://a0.muscache.com/im/pictures/20b8a480-257d-422f-9611-6d4fb06ed33c.jpg?im_w=320,Quarto inteiro em Manaíra,Quarto 2,1,90,"4,93",15
